Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
fútbol_N,1.8,3,3,0.4472,0,0
joven_A,2.2,2.4,3,0.4472,0.5477,0
valor_N,2.4,2.2,2.6,0.5477,0.4472,0.5477
medio_A,2,2,2.2,0,0,1.0954
proceso_N,2,2.8,2.6,0,0.4472,0.5477
gritar_V,1.6,3,3,0.8944,0,0
estilo_N,2.4,2.4,2.4,0.5477,0.5477,0.8944
presencia_N,2.2,2.6,2.4,0.4472,0.5477,0.8944
común_A,2,2,2,0,0,1
ocasión_N,2.4,2.2,2.4,0.5477,0.4472,0.8944
letra_N,2,1.8,2.8,0,0.4472,0.4472
lluvia_N,2.6,2.8,3,0.5477,0.4472,0
división_N,2,2.8,2.8,0,0.4472,0.4472
allá_R,2,2.2,2.6,0,0.8367,0.5477
estudiar_V,2.2,3,3,0.4472,0,0
término_N,2,1.8,1.8,0,0.4472,0.8367
reino_N,2.4,2.2,2.6,0.5477,0.4472,0.5477
triste_A,1,1.8333,3,0,0.7528,0
lágrima_N,1.8333,2.5,3,0.4082,0.5477,0
producción_N,2.5,2.8333,2.5,0.5477,0.4082,0.5477
dirección_N,2.1667,2.8333,2.5,0.4082,0.4082,0.8367
romper_V,2,3,3,0.6325,0,0
república_N,2.3333,2.1667,2.1667,0.5164,0.4082,0.9832
respuesta_N,2.1667,2.8333,1.8333,0.4082,0.4082,0.7528
acción_N,2.6,3,2.8,0.5477,0,0.4472
necesario_A,2,1.8,1.6,0.7071,0.4472,0.8944
natural_A,2.2,2,2.4,0.4472,0,0.5477
subir_V,2.4,3,3,0.5477,0,0
autor_N,2.2,2.6,3,0.4472,0.5477,0
disponer_V,2.4,2.4,1.8,0.5477,0.8944,0.8367
soledad_N,1.4,1.2,3,0.5477,0.4472,0
malo_A,1,2.2,3,0,0.4472,0
oficial_A,2,2.2,2,0,0.4472,0.7071
televisión_N,2.2,1.8,3,0.4472,0.8367,0
cabo_N,1.8,1.6,2.4,0.4472,0.5477,0.8944
todavía_R,2.4,1.8,1.8,0.5477,0.8367,0.8367
geografía_N,2.2,1.8,2.4,0.4472,0.4472,0.5477
desaparecer_V,2,2.4,3,0,0.8944,0
separar_V,1.8,3,2.6,0.4472,0,0.8944
económico_A,2.2,1.8,2.6,0.4472,0.4472,0.8944
significar_V,2,2,1.8,0,1,0.8367
favor_N,2.6,2.8,2.6,0.5477,0.4472,0.5477
jamás_R,1.8,2,2.2,0.4472,0.7071,0.8367
director_N,2,2.4,2.8,0,0.5477,0.4472
corresponder_V,2.2,2.2,2.4,0.4472,0.8367,0.5477
habitación_N,2,2,3,0,0,0
género_N,2,1.8,2,0,0.4472,0.7071
